BveTs Vehicle Performance Table 2.00:shift_jis
#
0,16750,41875,50250,55833.33,61277.08
5,16750,41875,50250,55833.33,61277.08
10,16750,41875,50250,55833.33,61277.08
15,14793.84,41875,50250,55833.33,61277.08
20,8814.371,41875,50250,55833.33,61277.08
25,5898.659,41875,50250,55833.33,61277.08
30,4248.417,34895.83,50250,55833.33,61277.08
35,3219.014,24859.4,50250,55833.33,61277.08
40,2531.263,18531.41,50250,55833.33,61277.08
45,2047.683,14301.21,50250,55833.33,61277.08
50,1693.945,11342.44,49245,55833.33,61277.08
55,1426.897,9196.92,44768.18,55833.33,61277.08
60,1220.037,7594.647,41037.5,55833.33,61277.08
65,1056.334,6368.409,33061.55,51538.46,61277.08
70,924.419,5410.341,27066.03,47857.14,59526.31
75,816.4603,4648.422,22465.9,39723.37,55557.89
80,726.9146,4033.131,18873.23,33370.94,52085.52
85,651.7654,3529.545,16023.53,28332.2,45786.6
90,588.0427,3112.482,13732.02,24280.45,38792.7
95,533.5104,2763.429,11866.85,20982.52,33163.08
100,486.458,2468.541,10332.12,18268.86,28579.41
105,445.5583,2217.297,9056.87,16014.02,24808.72
110,409.7685,2001.596,7987.833,14123.79,21677.76
115,378.259,1815.119,7084.433,12526.43,19055.9
120,350.3637,1652.881,6315.386,11166.63,16843.32
125,325.5422,1510.909,5656.297,10001.25,14962.85
130,303.3523,1386.005,5087.942,8996.31,13354.19
135,283.4292,1275.575,4595.027,8124.755,11969.76
140,265.4697,1177.494,4165.273,7364.881,10771.64
145,249.22,1090.01,3788.747,6699.122,9729.4
150,234.4666,1011.672,3457.346,6113.15,8818.376
155,221.0285,941.2621,3164.417,5595.203,8018.467
160,208.7514,877.7612,2904.459,5135.556,7313.164
