BveTs Vehicle Performance Table 2.00:shift_jis
#
0,52.80182,102.0046,118.4055,129.3394,140
5,52.80182,102.0046,118.4055,129.3394,140
10,52.80182,102.0046,118.4055,129.3394,140
15,48.97105,102.0046,118.4055,129.3394,140
20,37.26134,102.0046,118.4055,129.3394,140
25,31.55145,102.0046,118.4055,129.3394,140
30,28.31975,88.33713,118.4055,129.3394,140
35,26.30385,68.6826,118.4055,129.3394,140
40,24.95702,56.29038,118.4055,129.3394,140
45,24.01002,48.00631,118.4055,129.3394,140
50,23.31728,42.2121,116.4374,129.3394,140
55,22.79432,38.01049,107.6703,129.3394,140
60,22.38922,34.87273,100.3645,129.3394,140
65,22.06864,32.47137,84.74502,120.9287,140
70,21.86355,30.90679,74.56283,116.476,140
75,21.76348,30.04017,68.52431,105.7989,140
80,21.67474,29.29194,63.4821,96.88342,140
85,21.59546,28.63996,59.22395,89.35432,132.0809
90,21.52414,28.06721,55.5919,82.93228,120.5464
95,21.45962,27.56042,52.46635,77.40578,110.7304
100,21.40094,27.1091,49.75525,72.61211,102.3053
105,21.34731,26.70482,47.38683,68.42436,95.01842
110,21.29809,26.34079,45.30439,64.74229,88.67227
115,21.25274,26.01142,43.46266,61.48579,83.1105
120,21.2108,25.71212,41.82506,58.59025,78.20806
125,21.1719,25.43904,40.36182,56.00301,73.86399
130,21.1357,25.18899,39.04845,53.68077,69.99599
135,21.10192,24.95923,37.86472,51.58772,66.53646
140,21.07033,24.74746,36.79368,49.69395,63.42944
145,21.0407,24.55169,35.82114,47.97436,60.62827
150,21.01285,24.37024,34.93511,46.4077,58.09378
155,20.98663,24.20162,34.12536,44.97594,55.79294
160,20.96189,24.04455,33.38319,43.66365,53.69764
