BveTs Vehicle Performance Table 1.00
#
0,8250.001,13200,20130,27060,33000,10725,13035,14850
5,7218.75,12100,18709.17,25505.2,31286.54,10677.04,12969.38,14776.67
10,6187.5,11000,17288.34,23950.39,29573.08,10629.07,12903.75,14703.33
15,5156.25,9900.001,15867.5,22395.58,27859.62,10581.1,12838.13,14630
20,4125,8800,14446.67,20840.77,26146.15,10533.14,12772.5,14556.67
25,3300,7700,13025.83,19285.96,24432.7,10485.17,12706.88,14483.33
30,2454.803,6600.001,11605,17731.15,22719.23,10437.21,12641.25,14410
35,1911.498,5657.143,10184.17,16176.35,21005.77,10389.24,12575.63,14336.67
40,1539.086,4950,8910.001,14621.54,19292.31,10341.28,12510,14263.33
45,1271.31,4400,7920.001,13066.73,17578.85,10293.31,12444.38,14190
50,1071.507,3960,7128.001,11511.92,15865.39,10245.35,12378.75,14116.67
55,917.9561,2975.207,5792.371,9203.434,12829.03,10197.38,12313.13,14043.33
60,797.0722,2291.667,4461.6,7088.987,9881.618,10149.42,12247.5,13970
65,699.9788,1802.458,3509.169,5575.681,7772.161,10101.45,12181.88,13896.67
70,620.6614,1443.149,2809.637,4464.202,6222.827,10053.49,12116.25,13823.33
75,554.9191,1173.333,2284.339,3629.562,5059.389,10005.52,12050.63,13750
80,499.7398,966.797,1882.238,2990.667,4168.808,9957.559,11985,13676.67
85,452.915,806.0249,1569.234,2493.338,3475.562,9909.594,11919.38,13603.33
90,412.7931,679.0124,1321.956,2100.441,2927.887,9460,11616,13530
95,378.1174,577.3437,1124.019,1785.941,2489.494,8407.911,10324.13,12025.27
100,347.9172,495.0001,963.7057,1531.221,2134.429,6848.296,8409.07,9794.656
105,321.4323,427.5997,832.4852,1322.727,1843.801,5634.11,6918.163,8058.087
110,298.0594,371.9008,724.0464,1150.429,1603.629,4677.479,5743.508,6689.881
115,277.3154,325.4706,633.6521,1006.803,1403.422,3915.535,4807.914,5600.126
120,258.8086,286.4583,557.7,886.1234,1235.202,3302.612,4055.3,4723.503
125,242.2188,253.44,493.4173,783.9853,1092.828,2805.062,3444.355,4011.891
130,227.2824,225.3073,438.6462,696.9601,971.5201,2397.779,2944.25,3429.381
135,213.78,201.1888,391.6906,622.3528,867.522,2061.804,2531.704,2948.86
140,201.5281,180.3936,351.2047,558.0252,777.8534,1782.668,2188.95,2549.629
145,190.3724,162.3683,316.1116,502.2662,700.1286,1549.211,1902.287,2215.732
150,180.1817,146.6667,285.5424,453.6952,632.4236,1352.75,1661.051,1934.747
155,170.8445,132.9261,258.7911,411.1903,573.1743,1186.467,1456.871,1696.924
160,162.265,120.8496,235.2797,373.8333,521.101,1044.967,1283.122,1494.546
