BveTs Vehicle Performance Table 1.00
#
0,93.17075,137.0732,198.5366,260,312.683,115.1219,135.6098,151.7073
5,84.02439,127.3171,185.935,246.2101,297.4859,114.6965,135.0277,151.0569
10,74.87805,117.561,173.3333,232.4203,282.2889,114.2711,134.4457,150.4065
15,65.7317,107.8049,160.7317,218.6304,267.0919,113.8457,133.8636,149.7561
20,56.58537,98.04878,148.1301,204.8405,251.8949,113.4203,133.2816,149.1057
25,49.2683,88.29269,135.5285,191.0507,236.698,112.9949,132.6996,148.4553
30,41.77209,78.53659,122.9268,177.2608,221.5009,112.5695,132.1175,147.8049
35,36.95341,70.17422,110.3252,163.4709,206.3039,112.1441,131.5355,147.1545
40,33.65043,63.90244,99.0244,149.681,191.1069,111.7187,130.9534,146.5041
45,31.27547,59.02439,90.2439,135.8912,175.9099,111.2933,130.3714,145.8537
50,29.50339,55.12195,83.21951,122.1013,160.713,110.8678,129.7894,145.2032
55,28.14152,46.38764,71.37357,101.6269,133.783,110.4424,129.2073,144.5529
60,27.06938,40.3252,59.57073,82.8735,107.6418,110.017,128.6253,143.9024
65,26.20824,35.98632,51.12346,69.45171,88.93269,109.5916,128.0432,143.252
70,25.50476,32.79955,44.91918,59.5938,75.19137,109.1662,127.4612,142.6016
75,24.92168,30.40651,40.26022,52.19123,64.87263,108.7408,126.8792,141.9512
80,24.43228,28.5747,36.6939,46.52476,56.9739,108.3154,126.2971,141.3008
85,24.01698,27.14878,33.91782,42.11386,50.82538,107.89,125.7151,140.6504
90,23.66114,26.02228,31.72466,38.62918,45.96796,103.9024,123.0244,140
95,23.5399,25.40504,30.52296,36.71983,43.30642,98.71411,116.6536,132.5795
100,23.4286,24.87805,29.49698,35.08964,41.03404,87.48752,102.8684,116.5228
105,23.32598,24.42453,28.61404,33.68675,39.0785,78.29826,91.58484,103.3801
110,23.231,24.03144,27.84874,32.47078,37.38351,70.70437,82.26025,92.51904
115,23.14277,23.68851,27.18108,31.40994,35.90476,64.37413,74.48731,83.46533
120,23.06056,23.38754,26.59512,30.47892,34.60697,59.05527,67.95625,75.85812
125,22.98373,23.12195,26.07807,29.65737,33.46179,54.55361,62.42862,69.41969
130,22.91172,22.88642,25.61951,28.92878,32.44618,50.71803,57.71889,63.93393
135,22.84408,22.67657,25.21096,28.27964,31.54131,47.42977,53.68121,59.23095
140,22.78038,22.4888,24.8454,27.6988,30.73166,44.59458,50.19985,55.17596
145,22.72028,22.32012,24.51699,27.177,30.0043,42.13703,47.18222,51.6611
150,22.66344,22.16802,24.22088,26.70651,29.34846,39.9963,44.5536,48.59936
155,22.6096,22.03041,23.95296,26.28081,28.75507,38.12292,42.25327,45.92
160,22.5585,21.90549,23.70976,25.89439,28.21642,36.47644,40.23154,43.56515
