Bvets Vehicle Performance Table 1.00
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,Q12,P23,Q34,P45,Q56,P67,Q78,P89,P910,P10Q11,WF1,WF2,WF3,WF4,WF5
#a,5055.555556,7889.284688,12729.6,13290.01358,12122.44898,12973.08239,11329.58678,10687.2628,8630.944794,6900.064416,5096.29867,3911.111111,2258.818406,17213.25578,17083.2962,17340.78386,14306.4862,12426.78169,11078.18734,10929.6,8640,9000,7845.827263,4724.016848,7498.630465,12049.92742,12230 ,12246.09375,11030.44983
#b,-23.33333333,-22.50847458,-24.2,-22.40425532,-18.28571429,-17.23964497,-12.90909091,-9.486404834,-5.341614907,-1.118198874,2.341772152,5.333333333,8.951807229,-19.60732984,-14.89637306,-11.52023121,-5.765291607,-0.762376238,3.16091954,5.4,10,11,13.4516129,19.29463308,17.35463259,11.92682927,15.02935421,17.625,22.79411765
#c,-26.66666667,-85.59322034,-178,-193.1914894,-188.5714286,-211.2573964,-194.5454545,-202.4471299,-172.5838509,-148.7354597,-99.60759494,-66.66666667,4.518072289,-140.895288,-161.1917098,-180.1734104,-149.5163585,-133.960396,-121.2643678,-126,-90,-100,-77.09677419,3.187294633,0.300319489,-4.341463415,16.0704501,33.75,63.52941176
#v,1.03,1545,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,196.5,275.4247243,363.7970248,417.7957447,494.2633929,563.8325134,709.4279129,957.9377451,1491.683097,6207.080587,5149.580035,3961.777778,2331.101031,763.3407091,1020.021664,1370.23014,2406.41347,12665.62474,11289.2686,11131.488,8809.2,9170,8004.105307,4868.924648,7723.889698,12407.08378,12612.75086,12647.22656,11424.89273
2,178.8815789,245.9640622,322.4384733,367.7235564,426.9416499,483.2603499,588.1631929,755.8928247,1038.304115,2130.486179,5149.580035,3961.777778,2331.101031,679.643556,880.2030926,1140.884424,1748.117566,4499.581177,11289.2686,11131.488,8809.2,9170,8004.105307,4868.924648,7723.889698,12407.08378,12612.75086,12647.22656,11424.89273
4,163.8414634,220.9488708,286.946383,325.2368406,371.7032967,417.8621055,495.5847507,613.7734139,779.0581538,1239.851917,3065.933037,3961.777778,2331.101031,610.1279564,769.9814327,970.6475487,1359.46887,2553.686379,11289.2686,11131.488,8809.2,9170,8004.105307,4868.924648,7723.889698,12407.08378,12612.75086,12647.22656,11424.89273
6,150.8522727,199.4435398,256.1552318,288.7332728,325.5630252,363.7201853,422.5902098,508.3621771,611.2439558,849.7005878,1335.291446,3961.777778,2331.101031,551.4710602,680.8584887,839.2770268,1102.954152,1758.804024,3897.830239,11131.488,8809.2,9170,8004.105307,4868.924648,7723.889698,12407.08378,12612.75086,12647.22656,11424.89273
8,139.5212766,180.7577966,229.1890683,257.0321338,286.4440994,318.1587218,363.5598419,427.0636696,493.7427669,630.7020638,828.1011809,1444,2331.101031,501.3129064,607.3053372,734.826375,920.9790011,1326.783219,2236.731755,4203.803077,8809.2,9170,8004.105307,4868.924648,7723.889698,12407.08378,12612.75086,12647.22656,11424.89273
10,129.55,164.3712377,205.3768421,229.2442017,252.8571429,279.2877219,314.8363636,362.4534139,406.8775155,490.4927489,585.8235171,796.5714286,2224.131699,457.9312035,545.5696743,649.7901338,785.174934,1055.329483,1547.166502,2321.28,8809.2,9170,8004.105307,4868.924648,7723.889698,12407.08378,12612.75086,12647.22656,11424.89273
12,120.7075472,149.8841031,184.1958011,204.6870248,223.7061995,245.7342968,273.9370936,309.8712767,340.0485184,393.0360455,443.886275,537.6,767.7844183,420.0395818,493.0152735,579.2156963,679.948258,868.9551191,1169.654186,1579.68,4359.6,9170,8004.105307,4868.924648,7723.889698,12407.08378,12612.75086,12647.22656,11424.89273
14,112.8125,136.9842312,165.2326702,182.8281234,198.1668774,216.4771338,239.1174447,266.2444713,287.0402901,321.3646103,350.6484559,398.1538462,465.3925008,386.6578837,447.7357513,519.7029826,596.0168258,733.0805825,931.4571251,1183.010233,2134.8,2990,8004.105307,4868.924648,7723.889698,5982.346009,12612.75086,12647.22656,11424.89273
16,105.720339,125.4243107,148.1564179,163.2459386,175.6071429,190.7407259,209.1156089,229.4647368,243.9672478,266.4405995,284.7166152,311,334.6144578,357.0261661,408.318344,468.8403,527.5102146,629.6297392,767.4700707,936.0271698,1393.2,1754,3094.00784,4868.924648,7723.889698,3042.774915,12612.75086,12647.22656,11424.89273
18,99.31451613,115.0058719,132.6987678,145.6023798,155.5343082,167.9256196,182.9963636,198.037428,208.2755358,223.0080501,235.6275084,251.3684211,261.6504099,330.5461445,373.6938549,424.8695258,470.534135,548.2338515,647.6871177,767.4514286,1022.4,1224.285714,1699.621414,4868.924648,7723.889698,2039.30687,4256.454962,12647.22656,11424.89273
