BveTs Vehicle Performance Table 2.00:shift_jis
#
0,19143.75,47859.38,57431.25,63812.5,70034.22
5,19143.75,47859.38,57431.25,63812.5,70034.22
10,19143.75,47859.38,57431.25,63812.5,70034.22
15,16908.04,47859.38,57431.25,63812.5,70034.22
20,10074.04,47859.38,57431.25,63812.5,70034.22
25,6741.64,47859.38,57431.25,63812.5,70034.22
30,4855.56,39882.81,57431.25,63812.5,70034.22
35,3679.045,34185.27,57431.25,63812.5,70034.22
40,2893.008,29912.11,57431.25,63812.5,70034.22
45,2340.319,23084.02,57431.25,63812.5,70034.22
50,1936.028,18308.17,56282.63,63812.5,70034.22
55,1630.815,14845.03,51166.02,63812.5,70034.22
60,1394.393,12258.75,46902.19,63812.5,70034.22
65,1207.295,10279.44,43294.33,58903.84,70034.22
70,1056.528,8732.997,40201.88,54696.43,68033.24
75,933.1411,7503.16,37521.75,51050,63497.69
80,830.7983,6510.001,32137.65,47859.38,59529.09
85,744.9095,5697.146,27785.91,45044.12,56027.38
90,672.0801,5023.952,24224.13,42541.67,52914.74
95,609.7546,4460.536,21276.17,37567.13,50129.75
100,555.9779,3984.547,18811.79,33386.61,47623.27
105,509.2333,3579.007,16733.08,29842.62,45355.49
110,468.3287,3230.837,14965.38,26814.46,41874.38
115,432.3161,2929.839,13451.02,24208.46,38482.98
120,400.4344,2667.966,12144.93,21951.06,35493.61
125,372.0656,2438.804,11011.49,19983.86,32844.71
130,346.7046,2237.194,10022.27,18260.08,30486.12
135,323.9342,2058.945,9154.382,16741.9,28376.6
140,303.4081,1900.629,8389.244,15398.48,26482.03
145,284.8362,1759.419,7711.643,14204.5,24773.95
150,267.9744,1632.97,7109.042,13139,23228.5
155,252.6158,1519.32,6571.039,12184.55,21825.5
160,238.5842,1416.821,6088.946,11326.52,20547.86
