bvets vehicle performance table 0.01,,,,,,,,,,,,,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
#k,9.80665,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.3174319
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.3174319,2743.262174
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.3174319,2743.262174,5162.017943
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.3174319,2544.353858,5162.017943,7639.58474
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.3174319,2301.798324,4754.807883,7639.58474,10175.96256
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2108.193165,4259.32522,7014.679507,10175.96256,12771.15141
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.3174319,3864.696161,6255.898121,9323.96873,12771.15141,15425.15129
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.3174319,1903.625054,5652.82642,8291.517026,11682.67555,15425.15129,18137.9622
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.3174319,1742.433127,3448.555979,7472.583943,10366.18194,14090.79997,18137.9622,20909.58413
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1583.383618,3121.261105,5018.110205,9323.96873,12479.89285,16548.342,20909.58413,23740.01709
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.3174319,2798.844362,4519.801367,6612.287734,11206.98078,14632.64977,19055.30162,23740.01709,26629.26107
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480.65099,4029.699664,5938.053912,8231.088564,13121.62009,16824.45269,21611.67883,26629.26107,29577.31609
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.3174319,2590.870261,5275.949524,7376.01874,9874.512697,15067.88667,19055.30162,24217.47365,29577.31609,32584.18213
18,0,0,0,0,0,0,0,0,0,0,0,0,0,383.3174319,1374.578211,3713.975243,6537.593941,8833.695852,11542.56013,17045.78051,21325.19655,26872.68607,32584.18213,35649.85919
19,0,0,0,0,0,0,0,0,0,0,0,0,0,1256.420617,2376.365815,4849.965936,7814.632916,10311.08525,13235.23087,19055.30162,23634.13748,29577.31609,35649.85919,38774.34729
20,0,0,0,0,0,0,0,0,0,0,0,0,0,2137.700917,3388.680246,5998.842342,9107.066448,11808.18693,14952.52491,21096.44998,25982.12442,32331.3637,38774.34729,41957.64641
21,0,0,0,0,0,0,0,0,0,0,0,0,0,3027.158332,4411.521503,7160.604459,10414.89454,13325.00089,16694.44225,23169.22561,28369.15736,35134.82892,41957.64641,45199.75656
22,0,0,0,0,0,0,0,0,0,0,0,0,383.3174319,3924.792862,5444.889585,8335.252287,11738.11719,14861.52713,18460.98289,25273.62851,30795.23631,37987.71173,45199.75656,48500.67774
23,0,0,0,0,0,0,0,0,0,0,0,0,1140.39333,4830.604507,6488.784493,9522.785828,13076.73439,16417.76566,20252.14683,27409.65867,33260.36126,40890.01215,48500.67774,51860.40994
24,0,0,0,0,0,0,0,0,0,0,0,383.3174319,1903.625054,5744.593267,7543.206227,10723.20508,14430.74615,17993.71647,22067.93408,29577.31609,35764.53222,43841.73016,51860.40994,55278.95317
25,0,0,0,0,0,0,0,0,0,0,0,1078.779472,2673.012604,6666.759141,8608.154787,11936.51004,15800.15248,19589.37957,23908.34463,31776.60077,38307.74918,46842.86577,55278.95317,58756.30743
26,0,0,0,0,0,0,0,0,0,0,383.3174319,1779.439565,3448.555979,7597.102131,9683.630173,13162.70072,17184.95335,21204.75495,25773.37848,34007.51272,40890.01215,49893.41898,58756.30743,62292.47271
27,0,0,0,0,0,0,0,0,0,0,995.7137985,2485.297711,4230.255179,8535.622236,10769.63238,14401.77711,18585.14879,22839.84261,27663.03563,36270.05193,43511.32111,52993.38979,62292.47271,65887.44902
28,0,0,0,0,0,0,0,0,0,0,1612.144255,3196.35391,5018.110205,9482.319455,11866.16142,15653.73921,20000.73878,24494.64255,29577.31609,38564.21841,46171.67609,56142.7782,65887.44902,69541.23636
29,0,0,0,0,0,0,0,0,0,0,2232.608801,3912.608161,5812.121057,10437.19379,12973.21729,16918.58702,21431.72334,26169.15478,31516.21984,40890.01215,48871.07707,59341.58421,69541.23636,73253.83473
30,0,0,0,0,0,0,0,0,0,383.3174319,2857.107437,4634.060466,6612.287734,11400.24524,14090.79997,18196.32054,22878.10244,27863.37929,33479.7469,43247.43315,51609.52405,62589.80782,73253.83473,77025.24412
31,0,0,0,0,0,0,0,0,0,924.5982359,3485.640162,5360.710823,7418.610236,12371.4738,15218.90949,19486.93977,24339.87611,29577.31609,35467.89726,45636.48141,54387.01703,65887.44902,77025.24412,80855.46454
32,0,0,0,0,0,0,0,0,0,1469.033005,4118.206978,6092.559233,8231.088564,13350.87948,16357.54583,20790.44472,25817.04434,31310.96516,37480.67093,48057.15694,57203.55602,69234.50783,80855.46454,84744.49599
33,0,0,0,0,0,0,0,0,0,2016.62174,4754.807883,6829.605695,9049.722718,14338.46228,17506.709,22106.83538,27309.60712,33064.32653,39518.06789,50509.45973,60059.14102,72630.98423,84744.49599,88692.33846
34,0,0,0,0,0,0,0,0,383.3174319,2567.36444,5395.442877,7571.850211,9874.512697,15334.22219,18666.39899,23436.11174,28817.56446,34837.40017,41580.08816,52993.38979,62953.77202,76076.87824,88692.33846,92698.99196
35,0,0,0,0,0,0,0,0,854.8993979,3121.261105,6040.111962,8319.292779,10705.4585,16338.15921,19836.61581,24778.27382,30340.91636,36630.1861,43666.73173,55508.94711,65887.44902,79572.18984,92698.99196,96764.45649
36,0,0,0,0,0,0,0,0,1328.877167,3678.311736,6688.815136,9071.9334,11542.56013,17350.27335,21017.35945,26133.32162,31879.66281,38442.68431,45777.9986,58056.13169,68860.17203,83116.91904,96764.45649,100888.732
37,0,0,0,0,0,0,0,0,1805.250739,4238.516332,7341.5524,9829.772074,12385.81759,18370.5646,22208.62992,27501.25512,33433.80382,40274.89481,47913.88877,60634.94354,71871.94104,86711.06585,100888.732,105071.8186
