Bvets Motor Noise Table 0.01
#
0,,0.1,1,,,,,,,,,,,,,
0.2,,0.1,1,,,,,,,,,,,,,
0.4,,0.1,1,,,,,,,,,,,,,
0.6,,0.11,1,,,,,,,,,,,,,
0.8,,0.11,1,,,,,,,,,,,,,
1,,0.12,1,,,,,,,,,,,,,
1.2,,0.12,1,,,,,,,,,,,,,
1.4,,0.13,1,,,,,,,,,,,,,
1.6,,0.13,1,,,,,,,,,,,,,
1.8,,0.14,1,,,,,,,,,,,,,
2,,0.14,1,,,,,,,,,,,,,
2.2,,0.14,1,,,,,,,,,,,,,
2.4,,0.15,1,,,,,,,,,,,,,
2.6,,0.15,1,,,,,,,,,,,,,
2.8,,0.16,1,,,,,,,,,,,,,
3,,0.16,1,,,,,,,,,,,,,
3.2,,0.17,1,,,,,,,,,,,,,
3.4,,0.17,1,,,,,,,,,,,,,
3.6,,0.18,1,,,,,,,,,,,,,
3.8,,0.18,1,,,,,,,,,,,,,
4,,0.18,1,,,,,,,,,,,,,
4.2,,0.19,1,,,,,,,,,,,,,
4.4,,0.19,1,,,,,,,,,,,,,
4.6,,0.2,1,,,,,,,,,,,,,
4.8,,0.2,1,,,,,,,,,,,,,
5,,0.21,1,,,,,,,,,,,,,
5.2,,0.21,1,,,,,,,,,,,,,
5.4,,0.22,1,,,,,,,,,,,,,
5.6,,0.22,1,,,,,,,,,,,,,
5.8,,0.22,1,,,,,,,,,,,,,
6,,0.23,1,,,,,,,,,,,,,
6.2,,0.23,1,,,,,,,,,,,,,
6.4,,0.24,1,,,,,,,,,,,,,
6.6,,0.24,1,,,,,,,,,,,,,
6.8,,0.25,1,,,,,,,,,,,,,
7,,0.25,1,,,,,,,,,,,,,
7.2,,0.26,1,,,,,,,,,,,,,
7.4,,0.26,1,,,,,,,,,,,,,
7.6,,0.27,1,,,,,,,,,,,,,
7.8,,0.27,1,,,,,,,,,,,,,
8,,0.27,1,,,,,,,,,,,,,
8.2,,0.28,1,,,,,,,,,,,,,
8.400001,,0.28,1,,,,,,,,,,,,,
8.6,,0.29,1,,,,,,,,,,,,,
8.8,,0.29,1,,,,,,,,,,,,,
9,,0.3,1,,,,,,,,,,,,,
9.2,,0.3,1,,,,,,,,,,,,,
9.400001,,0.31,1,,,,,,,,,,,,,
9.6,,0.31,1,,,,,,,,,,,,,
9.8,,0.31,1,,,,,,,,,,,,,
10,,0.32,1,,,,,,,,,,,,,
10.2,,0.32,1,,,,,,,,,,,,,
10.4,,0.33,1,,,,,,,,,,,,,
10.6,,0.33,1,,,,,,,,,,,,,
10.8,,0.34,1,,,,,,,,,,,,,
11,,0.34,1,,,,,,,,,,,,,
11.2,,0.35,1,,,,,,,,,,,,,
11.4,,0.35,1,,,,,,,,,,,,,
11.6,,0.35,1,,,,,,,,,,,,,
11.8,,0.36,1,,,,,,,,,,,,,
12,,0.36,1,,,,,,,,,,,,,
12.2,,0.37,1,,,,,,,,,,,,,
12.4,,0.37,1,,,,,,,,,,,,,
12.6,,0.38,1,,,,,,,,,,,,,
12.8,,0.38,1,,,,,,,,,,,,,
13,,0.39,1,,,,,,,,,,,,,
13.2,,0.39,1,,,,,,,,,,,,,
13.4,,0.39,1,,,,,,,,,,,,,
13.6,,0.4,1,,,,,,,,,,,,,
13.8,,0.4,1,,,,,,,,,,,,,
14,,0.41,1,,,,,,,,,,,,,
14.2,,0.41,1,,,,,,,,,,,,,
14.4,,0.42,1,,,,,,,,,,,,,
14.6,,0.42,1,,,,,,,,,,,,,
14.8,,0.43,1,,,,,,,,,,,,,
15,,0.43,1,,,,,,,,,,,,,
15.2,,0.43,1,,,,,,,,,,,,,
15.4,,0.44,1,,,,,,,,,,,,,
15.6,,0.44,1,,,,,,,,,,,,,
15.8,,0.45,1,,,,,,,,,,,,,
16,,0.45,1,,,,,,,,,,,,,
16.2,,0.46,1,,,,,,,,,,,,,
16.4,,0.46,1,,,,,,,,,,,,,
16.6,,0.47,1,,,,,,,,,,,,,
16.8,,0.47,1,,,,,,,,,,,,,
17,,0.48,1,,,,,,,,,,,,,
17.2,,0.48,1,,,,,,,,,,,,,
17.4,,0.48,1,,,,,,,,,,,,,
17.6,,0.49,1,,,,,,,,,,,,,
17.8,,0.49,1,,,,,,,,,,,,,
18,,0.5,1,,,,,,,,,,,,,
18.2,,0.5,1,,,,,,,,,,,,,
18.4,,0.51,1,,,,,,,,,,,,,
18.6,,0.51,1,,,,,,,,,,,,,
18.8,,0.52,1,,,,,,,,,,,,,
19,,0.52,1,,,,,,,,,,,,,
19.2,,0.52,1,,,,,,,,,,,,,
19.4,,0.53,1,,,,,,,,,,,,,
19.6,,0.53,1,,,,,,,,,,,,,
19.8,,0.54,1,,,,,,,,,,,,,
20,,0.54,1,,,,,,,,,,,,,
20.2,,0.55,1,,,,,,,,,,,,,
20.4,,0.55,1,,,,,,,,,,,,,
20.6,,0.56,1,,,,,,,,,,,,,
20.8,,0.56,1,,,,,,,,,,,,,
21,,0.56,1,,,,,,,,,,,,,
21.2,,0.57,1,,,,,,,,,,,,,
21.4,,0.57,1,,,,,,,,,,,,,
21.6,,0.58,1,,,,,,,,,,,,,
21.8,,0.58,1,,,,,,,,,,,,,
22,,0.59,1,,,,,,,,,,,,,
22.2,,0.59,1,,,,,,,,,,,,,
22.4,,0.6,1,,,,,,,,,,,,,
22.6,,0.6,1,,,,,,,,,,,,,
22.8,,0.6,1,,,,,,,,,,,,,
23,,0.61,1,,,,,,,,,,,,,
23.2,,0.61,1,,,,,,,,,,,,,
23.4,,0.62,1,,,,,,,,,,,,,
23.6,,0.62,1,,,,,,,,,,,,,
23.8,,0.63,1,,,,,,,,,,,,,
24,,0.63,1,,,,,,,,,,,,,
24.2,,0.64,1,,,,,,,,,,,,,
24.4,,0.64,1,,,,,,,,,,,,,
24.6,,0.64,1,,,,,,,,,,,,,
24.8,,0.65,1,,,,,,,,,,,,,
25,,0.65,1,,,,,,,,,,,,,
25.2,,0.66,1,,,,,,,,,,,,,
25.4,,0.66,1,,,,,,,,,,,,,
25.6,,0.67,1,,,,,,,,,,,,,
25.8,,0.67,1,,,,,,,,,,,,,
26,,0.68,1,,,,,,,,,,,,,
26.2,,0.68,1,,,,,,,,,,,,,
26.4,,0.68,1,,,,,,,,,,,,,
26.6,,0.69,1,,,,,,,,,,,,,
26.8,,0.69,1,,,,,,,,,,,,,
27,,0.7,1,,,,,,,,,,,,,
27.2,,0.7,1,,,,,,,,,,,,,
