BveTs Vehicle Performance Table 1.00,,,,,,,,,,,
#,,,,,,,,,,,
BreakerDelay_On,0,0,0,0,0,0,0,0,0,0,0
BreakerDelay_Off,0,0,0,0,0,0,0,0,0,0,0
CurrentReducingTime,0,0,0,0,0,0,0,0,0,0,0
JerkRegulation_Up,100,100,100,100,100,100,100,100,100,100,100
JerkRegulation_Down,100,100,100,100,100,100,100,100,100,100,100
RequiredNotch_Up,2,3,4,5,6,7,8,9,10,11,12
RequiredNotch_Down,0,1,2,3,4,5,6,7,8,9,10
Stepdelay_Up,0,0,0,0,0,0,0,0,0,0,0
Stepdelay_Down,0,0,0,0,0,0,0,0,0,0,0
CurrentLimitingValue_Empty,0,0,0,0,0,0,0,0,0,0,0
CurrentLimitingValue_Full,0,0,0,0,0,0,0,0,0,0,0
